text,n
ofanethum,1
offal,1
offshore,1
old,1
oldonyosambu,1
oleander,1
oleifera,1
oleracea,1
olyset,1
operation,1
optinal,1
options,1
orange,1
order,1
oreochromis,1
organism,1
osimum,1
outdoor,1
ovatide,1
oxydative,1
pandemic,1
papaya,1
parameters,1
parasite,1
parasitic,1
"park"",",1
particulary,1
partners,1
passing,1
past,1
pastor,1
pastoralist,1
pasture,1
pathogenic,1
pathogens,1
pattterns,1
peasants,1
peels,1
pelagics,1
penicilin,1
peper,1
perceived,1
perceved,1
perfermance,1
perma,1
pests,1
phaseolus,1
physiological,1
phytochemical,1
phytophthora,1
phytoplanktons,1
pigs,1
pilosa,1
pituitary,1
"plants"",",1
plasmodium,1
plot,1
plus,1
point,1
pollinataor,1
pollutants,1
"porcellus"")",1
positive,1
possed,1
postmortem,1
potential,1
potentials,1
poultry,1
poutry,1
poverty,1
powder,1
practising,1
pre,1
pregnancy,1
pregnants,1
premature,1
prepaed,1
prepared,1
presences,1
"preservation"",",1
preserved,1
pressure,1
prevalance,1
prevelance,1
prevelence,1
prevention,1
preverence,1
proceed,1
processing,1
producing,1
productivty,1
profile,1
propagation,1
properties,1
property,1
propionibacterium,1
proprties,1
prospective,1
protection,1
"pylori"",",1
"quality"",",1
rabbit,1
rabits,1
railway,1
"rainseason"",",1
rapid,1
raw,1
rearded,1
recirculating,1
red,1
reduce,1
refregirator,1
region,1
regular,1
relative,1
remove,1
repellants,1
reptiles,1
resdence,1
reserved,1
reservemorogoro,1
resistance,1
resistansivity,1
resistant,1
resources,1
"resources"",",1
ricinus,1
rivers,1
rodent,1
roles,1
rungwe,1
ruthelan,1
safe,1
"saldines"",",1
saline,1
salmonella,1
salmonellosis,1
salting,1
salvia,1
samosa,1
sanification,1
sardina,1
sciences,1
"scinces"",",1
se,1
seaweed,1
secondary,1
sediment,1
sediments,1
seed,1
selian,1
semi,1
senna,1
sensitivity,1
"seregenti"",",1
serengeti,1
seroneraserengeti,1
services,1
set,1
sexual,1
shared,1
sheep,1
shinyanga,1
shopping,1
shrime,1
siamea,1
sibling,1
"singida"",",1
sink,1
slabs,1
slaughter,1
slaugtered,1
smoked,1
smoking,1
snd,1
soap,1
socieal,1
"societies"",",1
society,1
softness,1
sold,1
solid,1
songea,1
sorrounding,1
soya,1
spacing,1
spartial,1
"species"",",1
specifically,1
"spices"",",1
spinacia,1
stake,1
standard,1
standards,1
sting,1
stingless,1
stress,1
studying,1
style,1
subsequent,1
succeptibility,1
suitability,1
sumbawanga,1
sunflower,1
supermale,1
supplimentary,1
surface,1
susceptibility,1
sustainability,1
synthetic,1
system,1
sythetic,1
taboos,1
tabora,1
"tanga"",",1
"tanganyika"",",1
tanks,1
tanzanian,1
"tawiri"",",1
tb,1
techniques,1
terrestial,1
threats,1
ticks,1
toilet,1
tomato,1
towadrs,1
towads,1
towards,1
"town"",",1
toxic,1
toxins,1
trade,1
traders,1
transmitted,1
"transports"",",1
treated,1
treatment,1
treatments,1
trees,1
trichilia,1
trigonella,1
tubifex,1
tumbi,1
turtles,1
two,1
type,1
typhod,1
udom,1
unhybrid,1
"uti"",",1
uyole,1
vaccine,1
variation,1
varierties,1
vegetable,1
vegetables,1
velvet,1
venders,1
vendors,1
vera,1
vertebrates,1
viability,1
vinegar,1
vines,1
virtual,1
viruses,1
visitors,1
vitro,1
"vitro"",",1
vulgaris,1
vulnarable,1
vulnearability,1
"water"",",1
weight,1
wellbeing,1
wells,1
western,1
wet,1
wild,1
woman,1
workes,1
worm,1
"worms"",",1
xy,1
years,1
"yield"",",1
yolk,1
young,1
youth,1
ythe,1
yy,1
zone,1
"zone"",",1
